trial_id,title,condition,min_age,max_age,gender,eligibility,source_query,normalized_condition
NCT02092597,Safety Evaluation of Adverse Reactions in Diabetes,Type 2 Diabetes Mellitus,35,70,All,any,diabetes,diabetes
NCT05083013,Diabetes In Relation to Hospitalized COVID-19 Patents At Assiut University Hospital,Diabetes Mellitus,18,80,All,any,diabetes,diabetes
NCT05257460,Closing the Loop in Adults With Type 1 Diabetes Under Free Living Conditions (AP@Home04_Phase 4),Type 1 Diabetes,18,80,All,any,diabetes,diabetes
NCT01212120,The Foot in Your Nose Study: Links Between Nasal Staphylococcus Aureus Colonies and Diabetic Foot Lesion Infections,Diabetic Foot,18,80,All,any,diabetes,diabetes
NCT05925920,Study of Subcutaneously Administered ENT-03 for the Treatment of Obesity and Diabetes,Obesity,18,70,All,any,diabetes,diabetes
NCT01182480,Chronic Care Management/Patient Relationship Management Proof of Concept,Diabetes Mellitus,18,76,All,any,diabetes,diabetes
NCT00813280,Barriers to the Implementation of Complete Insulin Order Sets,Hyperglycemia,18,80,All,any,diabetes,diabetes
NCT05410080,the Efficacy of Fetal Arterial and Venous Doppler Indices in Predicting Perinatal Outcome,Gestational Diabetes,18,35,Female,any,diabetes,diabetes
NCT00046462,Determine Whether Glycemic Control is Different Between Lantus & a 3rd Oral Agent When Failure With Other Treatment,Diabetes Mellitus,18,79,All,any,diabetes,diabetes
NCT00700362,Insulin Infusion and Infectious Diabetic Foot Ulcers (IIIFU),Diabetes Mellitus,18,80,All,any,diabetes,diabetes
NCT01556997,Perindopril Amlodipine for the Treatment of Hypertension,Essential Hypertension,18,75,All,any,hypertension,hypertension
NCT01033513,SOS Nutrition Project,Hypertension,60,80,All,any,hypertension,hypertension
NCT00662480,Randomized Preventive Vascular Screening Trial of 65-74 Year Old Men in the Central Region of Denmark,Abdominal Aortic Aneurysms,65,74,Male,any,hypertension,hypertension
NCT06407973,A Clinical Trial Comparing the OMNI Surgical System to Standard Medical Treatment in Patients With Primary Open Angle Glaucoma,Primary Open Angle Glaucoma,45,80,All,any,hypertension,hypertension
NCT06195969,Instant Message-guided Hypertension Management Intervention Among Stroke Survivors,Stroke,18,80,All,any,hypertension,hypertension
NCT02857335,Neurocognitive Outcome in Children Who Suffered From Idiopathic Increased Intracranial Hypertension (IIH),"Prospective Study , Questionaires",8,17,All,any,hypertension,hypertension
NCT02759276,"Microcirculation and Inflammatory Markers in Patients With Resistant, Stages 1/2 Hypertension and Normal Blood Pressure",High Blood Pressure,27,65,All,any,hypertension,hypertension
NCT06528418,Identification of Multiple Pulmonary Diseases Using Volatile Organic Compounds Biomarkers in Human Exhaled Breath,Lung Cancer,18,100,All,any,hypertension,hypertension
NCT03662620,Clinical Trial to Compare the Safety and Pharmacokinetics of YH22162 in Healthy Volunteers,Hypertension,19,55,Male,any,hypertension,hypertension
